image_path,mask_path,has_solar,dataset,split,quality
data/raw\dataset1\train\tile_z18_x183125_y104725_jpg.rf.e3b611a4fe866acfa6828b48ae89556b.jpg,data/processed\masks\dataset1_train_tile_z18_x183125_y104725_jpg.rf.e3b611a4fe866acfa6828b48ae89556b.png,1,dataset1,train,high
data/raw\dataset1\train\z18_184520_104393_png.rf.e11fb4e81ff6b301ff59ca413cb149d4.jpg,data/processed\masks\dataset1_train_z18_184520_104393_png.rf.e11fb4e81ff6b301ff59ca413cb149d4.png,0,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183132_y104723_jpg.rf.99d1dbb3cb49321492f787161c37294b.jpg,data/processed\masks\dataset1_train_tile_z18_x183132_y104723_jpg.rf.99d1dbb3cb49321492f787161c37294b.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x183088_y104725_png.rf.696fc3a673bd6d1e1945a0aa97dc7ebc.jpg,data/processed\masks\dataset1_train_z18_x183088_y104725_png.rf.696fc3a673bd6d1e1945a0aa97dc7ebc.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x183083_y104721_png.rf.3cf55f9c01ba2e5023d6cd7d16ffdaaf.jpg,data/processed\masks\dataset1_train_z18_x183083_y104721_png.rf.3cf55f9c01ba2e5023d6cd7d16ffdaaf.png,1,dataset1,train,high
data/raw\dataset1\train\z18_183523_104645_png.rf.1a10c9ec2aec9d3ae9b772e579c3db4e.jpg,data/processed\masks\dataset1_train_z18_183523_104645_png.rf.1a10c9ec2aec9d3ae9b772e579c3db4e.png,1,dataset1,train,high
data/raw\dataset1\train\z18_183250_103836_png.rf.e194d8c7e8f6b72b703a7c25905be999.jpg,data/processed\masks\dataset1_train_z18_183250_103836_png.rf.e194d8c7e8f6b72b703a7c25905be999.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x183086_y104722_png.rf.364f183259fefc502e74836eccb57e10.jpg,data/processed\masks\dataset1_train_z18_x183086_y104722_png.rf.364f183259fefc502e74836eccb57e10.png,1,dataset1,train,high
data/raw\dataset1\train\z18_183515_104641_png.rf.f9618ee8ca56029a5fe65173fcc5b8b8.jpg,data/processed\masks\dataset1_train_z18_183515_104641_png.rf.f9618ee8ca56029a5fe65173fcc5b8b8.png,1,dataset1,train,high
data/raw\dataset1\train\z18_183256_103858_png.rf.91bb5bd7400d5d35de68d2f626c7196d.jpg,data/processed\masks\dataset1_train_z18_183256_103858_png.rf.91bb5bd7400d5d35de68d2f626c7196d.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x182321_y107010_png.rf.0be7696fcdecfcc09e765734c7588476.jpg,data/processed\masks\dataset1_train_z18_x182321_y107010_png.rf.0be7696fcdecfcc09e765734c7588476.png,0,dataset1,train,high
data/raw\dataset1\train\z18_x182310_y106922_png.rf.4c1e333e29ec78c73019ea88539a3257.jpg,data/processed\masks\dataset1_train_z18_x182310_y106922_png.rf.4c1e333e29ec78c73019ea88539a3257.png,0,dataset1,train,high
data/raw\dataset1\train\z18_x183087_y104737_png.rf.0640390f4069594c727146ece015b0ef.jpg,data/processed\masks\dataset1_train_z18_x183087_y104737_png.rf.0640390f4069594c727146ece015b0ef.png,1,dataset1,train,high
data/raw\dataset1\train\z18_184414_104348_png.rf.9c591543a701cdcb5cd69e10d2a4a393.jpg,data/processed\masks\dataset1_train_z18_184414_104348_png.rf.9c591543a701cdcb5cd69e10d2a4a393.png,1,dataset1,train,high
data/raw\dataset1\train\z18_183262_103842_png.rf.cd2cebc7825bcca37cf963afd2be6819.jpg,data/processed\masks\dataset1_train_z18_183262_103842_png.rf.cd2cebc7825bcca37cf963afd2be6819.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x182369_y106923_png.rf.9302207a2a1cfe66815891ff98e4a2b1.jpg,data/processed\masks\dataset1_train_z18_x182369_y106923_png.rf.9302207a2a1cfe66815891ff98e4a2b1.png,0,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183193_y104715_jpg.rf.aab4dab45683fd47f381c5e376fb9215.jpg,data/processed\masks\dataset1_train_tile_z18_x183193_y104715_jpg.rf.aab4dab45683fd47f381c5e376fb9215.png,1,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183217_y104708_jpg.rf.2378dec5fae4c82168fa9a67681af280.jpg,data/processed\masks\dataset1_train_tile_z18_x183217_y104708_jpg.rf.2378dec5fae4c82168fa9a67681af280.png,1,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183220_y104705_jpg.rf.97f837757ba7e3fdc6ca0d914cc8de46.jpg,data/processed\masks\dataset1_train_tile_z18_x183220_y104705_jpg.rf.97f837757ba7e3fdc6ca0d914cc8de46.png,1,dataset1,train,high
data/raw\dataset1\train\z18_183266_103849_png.rf.5bf6d159d94e178fc65a74d3a8775526.jpg,data/processed\masks\dataset1_train_z18_183266_103849_png.rf.5bf6d159d94e178fc65a74d3a8775526.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x182337_y107075_png.rf.bc5073520da90239b8da3d2e7f4da9e8.jpg,data/processed\masks\dataset1_train_z18_x182337_y107075_png.rf.bc5073520da90239b8da3d2e7f4da9e8.png,0,dataset1,train,high
data/raw\dataset1\train\z18_183582_104459_png.rf.9daa406de900ae98915c8b497f380ceb.jpg,data/processed\masks\dataset1_train_z18_183582_104459_png.rf.9daa406de900ae98915c8b497f380ceb.png,1,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183212_y104712_jpg.rf.d8464daa65361b21b97f03eb780d0677.jpg,data/processed\masks\dataset1_train_tile_z18_x183212_y104712_jpg.rf.d8464daa65361b21b97f03eb780d0677.png,1,dataset1,train,high
data/raw\dataset1\train\z18_183501_104673_png.rf.028fdd47022b9fa2ffaf3f279ceba214.jpg,data/processed\masks\dataset1_train_z18_183501_104673_png.rf.028fdd47022b9fa2ffaf3f279ceba214.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x183077_y104727_png.rf.87bfecd5ae73c473bd0692ddfe82fae0.jpg,data/processed\masks\dataset1_train_z18_x183077_y104727_png.rf.87bfecd5ae73c473bd0692ddfe82fae0.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x182369_y107063_png.rf.ea7781fb2f37dce10482e6bcb9e32508.jpg,data/processed\masks\dataset1_train_z18_x182369_y107063_png.rf.ea7781fb2f37dce10482e6bcb9e32508.png,0,dataset1,train,high
data/raw\dataset1\train\z18_x184320_y103557_png.rf.bf2822910759974d5e6636e5ea303d18.jpg,data/processed\masks\dataset1_train_z18_x184320_y103557_png.rf.bf2822910759974d5e6636e5ea303d18.png,0,dataset1,train,high
data/raw\dataset1\train\z18_183260_103860_png.rf.52c1f35a087abe4665130c8d15b18218.jpg,data/processed\masks\dataset1_train_z18_183260_103860_png.rf.52c1f35a087abe4665130c8d15b18218.png,1,dataset1,train,high
data/raw\dataset1\train\z18_183278_103845_png.rf.b0350a570ec8e1a1ff8cc0e44c99588e.jpg,data/processed\masks\dataset1_train_z18_183278_103845_png.rf.b0350a570ec8e1a1ff8cc0e44c99588e.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x182356_y107056_png.rf.d7a7822711c9c6b043bebbc0407a27ba.jpg,data/processed\masks\dataset1_train_z18_x182356_y107056_png.rf.d7a7822711c9c6b043bebbc0407a27ba.png,1,dataset1,train,high
data/raw\dataset1\train\z18_183259_103846_png.rf.aa491ac21b303a6006261dc20ae4835a.jpg,data/processed\masks\dataset1_train_z18_183259_103846_png.rf.aa491ac21b303a6006261dc20ae4835a.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x182378_y107027_png.rf.290b511079beeb4809834e5c6f3bb9c9.jpg,data/processed\masks\dataset1_train_z18_x182378_y107027_png.rf.290b511079beeb4809834e5c6f3bb9c9.png,0,dataset1,train,high
data/raw\dataset1\train\z18_x183080_y104730_png.rf.abef98a801bd6a4d42eb48338f19f33b.jpg,data/processed\masks\dataset1_train_z18_x183080_y104730_png.rf.abef98a801bd6a4d42eb48338f19f33b.png,1,dataset1,train,high
data/raw\dataset1\train\z18_183258_103851_png.rf.5f1855617c4d164376901aa6451ec506.jpg,data/processed\masks\dataset1_train_z18_183258_103851_png.rf.5f1855617c4d164376901aa6451ec506.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x182356_y106998_png.rf.6048daf7ba85362dd0334baacca0184e.jpg,data/processed\masks\dataset1_train_z18_x182356_y106998_png.rf.6048daf7ba85362dd0334baacca0184e.png,0,dataset1,train,high
data/raw\dataset1\train\z18_x182340_y106983_png.rf.a6f2a8cb06da3a8a7ead4faca524b0de.jpg,data/processed\masks\dataset1_train_z18_x182340_y106983_png.rf.a6f2a8cb06da3a8a7ead4faca524b0de.png,1,dataset1,train,high
data/raw\dataset1\train\z18_183607_104466_png.rf.10acb16afeaa3fc50cd2146f68964a59.jpg,data/processed\masks\dataset1_train_z18_183607_104466_png.rf.10acb16afeaa3fc50cd2146f68964a59.png,1,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183215_y104709_jpg.rf.06afe4c387ce6da033de6b9907155731.jpg,data/processed\masks\dataset1_train_tile_z18_x183215_y104709_jpg.rf.06afe4c387ce6da033de6b9907155731.png,1,dataset1,train,high
data/raw\dataset1\train\z18_183259_103855_png.rf.3caf6820f7fff8fac9ac1219e4790764.jpg,data/processed\masks\dataset1_train_z18_183259_103855_png.rf.3caf6820f7fff8fac9ac1219e4790764.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x183080_y104735_png.rf.9222bf75d6ad94f1a21de0b53603c510.jpg,data/processed\masks\dataset1_train_z18_x183080_y104735_png.rf.9222bf75d6ad94f1a21de0b53603c510.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x182325_y106933_png.rf.9f77ba3ddfd64085e0ed6d29e06086f1.jpg,data/processed\masks\dataset1_train_z18_x182325_y106933_png.rf.9f77ba3ddfd64085e0ed6d29e06086f1.png,0,dataset1,train,high
data/raw\dataset1\train\z18_x183085_y104731_png.rf.239cebd5f1d0d9305c8985cd7d317354.jpg,data/processed\masks\dataset1_train_z18_x183085_y104731_png.rf.239cebd5f1d0d9305c8985cd7d317354.png,0,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183202_y104698_jpg.rf.4935d72f9eca767f9ab9678db2d0c57f.jpg,data/processed\masks\dataset1_train_tile_z18_x183202_y104698_jpg.rf.4935d72f9eca767f9ab9678db2d0c57f.png,1,dataset1,train,high
data/raw\dataset1\train\z18_184417_104334_png.rf.15a09b3b5fb263984893bbe48fa5dd33.jpg,data/processed\masks\dataset1_train_z18_184417_104334_png.rf.15a09b3b5fb263984893bbe48fa5dd33.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x184292_y103558_png.rf.b1d037fa591fc5da0a2e3add46764657.jpg,data/processed\masks\dataset1_train_z18_x184292_y103558_png.rf.b1d037fa591fc5da0a2e3add46764657.png,0,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183152_y104736_jpg.rf.9da50e5cdae51f36809a8546503fb449.jpg,data/processed\masks\dataset1_train_tile_z18_x183152_y104736_jpg.rf.9da50e5cdae51f36809a8546503fb449.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x183081_y104721_png.rf.f31a949773823cf8b6e02577425a9a00.jpg,data/processed\masks\dataset1_train_z18_x183081_y104721_png.rf.f31a949773823cf8b6e02577425a9a00.png,1,dataset1,train,high
data/raw\dataset1\train\z18_183501_104633_png.rf.016531115b3f6285153b62912c55f265.jpg,data/processed\masks\dataset1_train_z18_183501_104633_png.rf.016531115b3f6285153b62912c55f265.png,1,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183220_y104706_jpg.rf.faf0a4e43b8804a063bcaf55a5e551c9.jpg,data/processed\masks\dataset1_train_tile_z18_x183220_y104706_jpg.rf.faf0a4e43b8804a063bcaf55a5e551c9.png,1,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183197_y104696_jpg.rf.9d518e431c4d2ec259788988f8c6f546.jpg,data/processed\masks\dataset1_train_tile_z18_x183197_y104696_jpg.rf.9d518e431c4d2ec259788988f8c6f546.png,1,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183136_y104736_jpg.rf.04e69f073379169162264ca77995ee06.jpg,data/processed\masks\dataset1_train_tile_z18_x183136_y104736_jpg.rf.04e69f073379169162264ca77995ee06.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x182303_y106940_png.rf.ce49ab096646a6b262ccf2d0a0cd3665.jpg,data/processed\masks\dataset1_train_z18_x182303_y106940_png.rf.ce49ab096646a6b262ccf2d0a0cd3665.png,0,dataset1,train,high
data/raw\dataset1\train\z18_x182344_y106971_png.rf.0b509ad9ac56d682f4f5decadf9516bc.jpg,data/processed\masks\dataset1_train_z18_x182344_y106971_png.rf.0b509ad9ac56d682f4f5decadf9516bc.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x184332_y103562_png.rf.b04ddb64408db19f2087d74a96dbbadd.jpg,data/processed\masks\dataset1_train_z18_x184332_y103562_png.rf.b04ddb64408db19f2087d74a96dbbadd.png,0,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183149_y104738_jpg.rf.fe3266df243380b988866f25e96e2bae.jpg,data/processed\masks\dataset1_train_tile_z18_x183149_y104738_jpg.rf.fe3266df243380b988866f25e96e2bae.png,1,dataset1,train,high
data/raw\dataset1\train\z18_184529_104412_png.rf.6215e48096a9bf7213c53dcc1d5fa1cc.jpg,data/processed\masks\dataset1_train_z18_184529_104412_png.rf.6215e48096a9bf7213c53dcc1d5fa1cc.png,0,dataset1,train,high
data/raw\dataset1\train\z18_x182350_y107012_png.rf.b80bc535c7b143359fe21a55051c0af0.jpg,data/processed\masks\dataset1_train_z18_x182350_y107012_png.rf.b80bc535c7b143359fe21a55051c0af0.png,0,dataset1,train,high
data/raw\dataset1\train\z18_184419_104351_png.rf.8d1a9f076c22497640b5b5e189df26af.jpg,data/processed\masks\dataset1_train_z18_184419_104351_png.rf.8d1a9f076c22497640b5b5e189df26af.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x183077_y104729_png.rf.66da2accdfbcc71dab92c0f98ce74b77.jpg,data/processed\masks\dataset1_train_z18_x183077_y104729_png.rf.66da2accdfbcc71dab92c0f98ce74b77.png,1,dataset1,train,high
data/raw\dataset1\train\z18_183607_104471_png.rf.257939c58953aed4d9ddd17c375929b4.jpg,data/processed\masks\dataset1_train_z18_183607_104471_png.rf.257939c58953aed4d9ddd17c375929b4.png,1,dataset1,train,high
